Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
Q13555,KCC2G_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17),CAMK2G CAMK CAMK-II CAMKG,Homo sapiens (Human),558,GO:0004683; GO:0004723; GO:0005516; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005954; GO:0007399; GO:0010975; GO:0014733; GO:0016020; GO:0030073; GO:0030154; GO:0030666; GO:0033017; GO:0042802; GO:0042803; GO:0043005; GO:0051924; GO:0060333; GO:0106310; GO:0106311; GO:1900034,Chordata
Q15878,CAC1E_HUMAN,Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel; L type; alpha-1 polypeptide; isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3),CACNA1E CACH6 CACNL1A6,Homo sapiens (Human),2313,GO:0005245; GO:0005509; GO:0005886; GO:0005891; GO:0006816; GO:0007268; GO:0022843; GO:0034765; GO:0045202; GO:0050796; GO:0051899; GO:0070509,Chordata
Q9NTM9,CUTC_HUMAN,Copper homeostasis protein cutC homolog,CUTC CGI-32,Homo sapiens (Human),273,GO:0005507; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006825; GO:0051262; GO:0055070,Chordata
O00571,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3; X-chromosomal) (DEAD box; X isoform) (DBX) (Helicase-like protein 2) (HLP2),DDX3X DBX DDX3,Homo sapiens (Human),662,GO:0003677; GO:0003678; GO:0003723; GO:0003724; GO:0003729; GO:0003924; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0006413; GO:0007059; GO:0007276; GO:0008134; GO:0008143; GO:0008190; GO:0008625; GO:0009615; GO:0010494; GO:0010501; GO:0010628; GO:0016032; GO:0016055; GO:0016887; GO:0017111; GO:0017148; GO:0030027; GO:0030154; GO:0030307; GO:0030308; GO:0031252; GO:0031333; GO:0031369; GO:0031954; GO:0032727; GO:0032728; GO:0033592; GO:0034063; GO:0034157; GO:0034161; GO:0034774; GO:0035556; GO:0035613; GO:0036493; GO:0042256; GO:0043015; GO:0043024; GO:0043065; GO:0043066; GO:0043154; GO:0043186; GO:0043273; GO:0043280; GO:0043312; GO:0043539; GO:0045070; GO:0045087; GO:0045296; GO:0045727; GO:0045944; GO:0045948; GO:0048027; GO:0055088; GO:0070062; GO:0071243; GO:0071470; GO:0071651; GO:0071902; GO:0072559; GO:0090263; GO:0097193; GO:0098586; GO:1900087; GO:1900227; GO:1901223; GO:1901224; GO:1901985; GO:1902042; GO:1902523; GO:1903608; GO:1904813; GO:2001243,Chordata
Q96N67,DOCK7_HUMAN,Dedicator of cytokinesis protein 7,DOCK7 KIAA1771,Homo sapiens (Human),2140,GO:0000226; GO:0005085; GO:0005925; GO:0007264; GO:0007409; GO:0022027; GO:0030424; GO:0030426; GO:0031175; GO:0031267; GO:0033138; GO:0043005; GO:0045178; GO:0045200; GO:0050767; GO:0090630; GO:0120163; GO:1904754,Chordata
O75343,GCYB2_HUMAN,Guanylate cyclase soluble subunit beta-2 (GCS-beta-2) (EC 4.6.1.2),GUCY1B2,Homo sapiens (Human),617,GO:0004383; GO:0005525; GO:0005737; GO:0019934; GO:0020037; GO:0046872,Chordata
P23416,GLRA2_HUMAN,Glycine receptor subunit alpha-2,GLRA2,Homo sapiens (Human),452,GO:0004888; GO:0005886; GO:0005887; GO:0007165; GO:0007218; GO:0007268; GO:0016594; GO:0016934; GO:0022852; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043200; GO:0045202; GO:0045211; GO:0046872; GO:0050877; GO:0060012; GO:0071230; GO:0071294; GO:0071361; GO:0098690; GO:1902476; GO:1904315,Chordata
Q9Y4D8,HECD4_HUMAN,Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4),HECTD4 C12orf51 KIAA0614,Homo sapiens (Human),3996,GO:0004842; GO:0006006; GO:0016021; GO:0042593,Chordata
P54840,GYS2_HUMAN,Glycogen [starch] synthase; liver (EC 2.4.1.11),GYS2,Homo sapiens (Human),703,GO:0004373; GO:0005737; GO:0005829; GO:0005856; GO:0005938; GO:0005978; GO:0006091; GO:0009749; GO:0030864; GO:0043265,Chordata
O94806,KPCD3_HUMAN,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu),PRKD3 EPK2 PRKCN,Homo sapiens (Human),890,GO:0004697; GO:0004698; GO:0005524; GO:0005654; GO:0005829; GO:0006468; GO:0007205; GO:0016020; GO:0016301; GO:0030148; GO:0046872; GO:0089700; GO:0106310; GO:0106311,Chordata
O60231,DHX16_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),DHX16 DBP2 DDX16 KIAA0577 PRP2,Homo sapiens (Human),1041,GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0008380; GO:0016887; GO:0071005,Chordata
P16930,FAAA_HUMAN,Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase),FAH,Homo sapiens (Human),419,GO:0004334; GO:0005829; GO:0006527; GO:0006559; GO:0006572; GO:0046872; GO:0070062; GO:1902000,Chordata
Q15303,ERBB4_HUMAN,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],ERBB4 HER4,Homo sapiens (Human),1308,GO:0000165; GO:0000976; GO:0001755; GO:0001934; GO:0004713; GO:0004714; GO:0005154; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005739; GO:0005759; GO:0005829; GO:0005886; GO:0005887; GO:0007165; GO:0007169; GO:0007275; GO:0007399; GO:0007416; GO:0007507; GO:0007595; GO:0008284; GO:0008285; GO:0009880; GO:0009925; GO:0014068; GO:0016323; GO:0016477; GO:0018108; GO:0021551; GO:0021889; GO:0030334; GO:0033674; GO:0038128; GO:0042531; GO:0042803; GO:0043066; GO:0043235; GO:0043552; GO:0043653; GO:0045165; GO:0045211; GO:0045893; GO:0046427; GO:0046777; GO:0051897; GO:0060045; GO:0060644; GO:0060749; GO:0061026; GO:0070374; GO:0071364; GO:0098978; GO:0098982; GO:0099056; GO:0099061; GO:2000010; GO:2000145; GO:2001223,Chordata
Q9BX10,GTPB2_HUMAN,GTP-binding protein 2,GTPBP2,Homo sapiens (Human),602,GO:0002576; GO:0003746; GO:0003924; GO:0005525; GO:0005576; GO:0006414; GO:0031093; GO:0042802,Chordata
P06732,KCRM_HUMAN,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM CKMM,Homo sapiens (Human),381,GO:0004111; GO:0005524; GO:0005615; GO:0005829; GO:0006600; GO:0016301; GO:0046314,Chordata
Q16394,EXT1_HUMAN,Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1),EXT1,Homo sapiens (Human),746,GO:0000139; GO:0001501; GO:0001503; GO:0001958; GO:0001974; GO:0002062; GO:0002067; GO:0002524; GO:0003128; GO:0003416; GO:0005783; GO:0005789; GO:0005794; GO:0006024; GO:0006486; GO:0007033; GO:0007165; GO:0007369; GO:0007411; GO:0007492; GO:0007498; GO:0008217; GO:0008375; GO:0008543; GO:0009615; GO:0009642; GO:0010467; GO:0014033; GO:0015012; GO:0015014; GO:0015020; GO:0016021; GO:0016757; GO:0017145; GO:0019882; GO:0021554; GO:0021772; GO:0030163; GO:0030176; GO:0030199; GO:0030204; GO:0030210; GO:0030509; GO:0032836; GO:0033627; GO:0033692; GO:0035176; GO:0035249; GO:0035988; GO:0036022; GO:0036336; GO:0036339; GO:0042044; GO:0042060; GO:0042311; GO:0042328; GO:0042596; GO:0042803; GO:0043931; GO:0045165; GO:0045202; GO:0045453; GO:0046872; GO:0046982; GO:0050508; GO:0050509; GO:0050891; GO:0050901; GO:0051923; GO:0055078; GO:0060047; GO:0060070; GO:0060218; GO:0060351; GO:0060441; GO:0060506; GO:0060560; GO:0061484; GO:0061744; GO:0061974; GO:0062094; GO:0065003; GO:0070593; GO:0071503; GO:0071625; GO:0071711; GO:0071847; GO:0072112; GO:0072498; GO:0097021; GO:0097241; GO:0120193; GO:1901706; GO:1904888; GO:1990823,Chordata
O43909,EXTL3_HUMAN,Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3),EXTL3 EXTL1L EXTR1 KIAA0519,Homo sapiens (Human),919,GO:0001888; GO:0005783; GO:0005789; GO:0005794; GO:0006486; GO:0015012; GO:0016021; GO:0016757; GO:0030307; GO:0036498; GO:0046872,Chordata
O14775,GNB5_HUMAN,Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5),GNB5,Homo sapiens (Human),395,GO:0003924; GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005834; GO:0006457; GO:0007165; GO:0007186; GO:0007212; GO:0031682; GO:0043547; GO:0051087; GO:0098793; GO:1901386; GO:1902773,Chordata
Q15139,KPCD1_HUMAN,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),PRKD1 PKD PKD1 PRKCM,Homo sapiens (Human),912,GO:0000421; GO:0001525; GO:0001938; GO:0004674; GO:0004697; GO:0004698; GO:0005524; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006468; GO:0006915; GO:0006954; GO:0007030; GO:0007165; GO:0007229; GO:0007265; GO:0007399; GO:0010508; GO:0010595; GO:0010837; GO:0010976; GO:0016301; GO:0018105; GO:0018107; GO:0030148; GO:0030154; GO:0031647; GO:0032793; GO:0033138; GO:0034198; GO:0034599; GO:0035556; GO:0035924; GO:0038033; GO:0042802; GO:0043123; GO:0043536; GO:0043552; GO:0045087; GO:0045669; GO:0045766; GO:0045806; GO:0045944; GO:0046777; GO:0046872; GO:0048010; GO:0048193; GO:0051092; GO:0060548; GO:0071447; GO:0089700; GO:0106310; GO:0106311; GO:1901727; GO:2001028; GO:2001044,Chordata
Q8N1M1,BEST3_HUMAN,Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3),BEST3 VMD2L3,Homo sapiens (Human),668,GO:0005254; GO:0005886; GO:0006821; GO:0034707; GO:0043271,Chordata
P47870,GBRB2_HUMAN,Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2),GABRB2,Homo sapiens (Human),512,GO:0004890; GO:0005237; GO:0005254; GO:0005829; GO:0005886; GO:0005887; GO:0007165; GO:0007214; GO:0007268; GO:0007605; GO:0022851; GO:0030594; GO:0030659; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043524; GO:0045202; GO:0050877; GO:0051932; GO:0060119; GO:0060384; GO:0070062; GO:0071420; GO:0090102; GO:0098982; GO:0099060; GO:1902476; GO:1902711; GO:1904315; GO:1904862,Chordata
P34947,GRK5_HUMAN,G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5),GRK5 GPRK5,Homo sapiens (Human),590,GO:0004674; GO:0004703; GO:0005080; GO:0005524; GO:0005543; GO:0005737; GO:0005829; GO:0005886; GO:0006915; GO:0007186; GO:0007188; GO:0007217; GO:0008277; GO:0008284; GO:0016055; GO:0016607; GO:0031965; GO:0043066; GO:0046777; GO:0047696; GO:0051726,Chordata
Q6UVM3,KCNT2_HUMAN,Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1),KCNT2 SLICK,Homo sapiens (Human),1135,GO:0005228; GO:0005524; GO:0005886; GO:0015271; GO:0016021; GO:0070089; GO:0097623,Chordata
P15311,EZRI_HUMAN,Ezrin (Cytovillin) (Villin-2) (p81),EZR VIL2,Homo sapiens (Human),586,GO:0000122; GO:0001650; GO:0001726; GO:0001772; GO:0001931; GO:0001951; GO:0003376; GO:0003723; GO:0003779; GO:0005615; GO:0005737; GO:0005768; GO:0005829; GO:0005884; GO:0005886; GO:0005902; GO:0005903; GO:0005925; GO:0007159; GO:0007411; GO:0008017; GO:0008022; GO:0008360; GO:0010628; GO:0010737; GO:0015629; GO:0016020; GO:0016323; GO:0016324; GO:0019898; GO:0019904; GO:0022614; GO:0030033; GO:0030175; GO:0030315; GO:0030863; GO:0030953; GO:0031528; GO:0031532; GO:0031623; GO:0031982; GO:0032532; GO:0032587; GO:0032703; GO:0032991; GO:0034236; GO:0034237; GO:0034629; GO:0035088; GO:0036064; GO:0040018; GO:0042802; GO:0042995; GO:0043622; GO:0044297; GO:0044393; GO:0044548; GO:0044853; GO:0045177; GO:0045296; GO:0046847; GO:0048015; GO:0048471; GO:0050714; GO:0050839; GO:0050860; GO:0051015; GO:0051017; GO:0051018; GO:0051117; GO:0051286; GO:0051660; GO:0061028; GO:0070062; GO:0070373; GO:0071320; GO:0071944; GO:0072659; GO:0072697; GO:0097449; GO:0097454; GO:0097718; GO:0098592; GO:1902115; GO:1902896; GO:1902966; GO:1903078; GO:1903364; GO:1903753; GO:2000643,Chordata
O95677,EYA4_HUMAN,Eyes absent homolog 4 (EC 3.1.3.48),EYA4,Homo sapiens (Human),639,GO:0004725; GO:0005634; GO:0005737; GO:0006281; GO:0007275; GO:0007601; GO:0007605; GO:0009653; GO:0016576; GO:0030154; GO:0045739; GO:0046872; GO:0048856; GO:2001240,Chordata
Q09472,EP300_HUMAN,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),EP300 P300,Homo sapiens (Human),2414,GO:0000122; GO:0000123; GO:0001085; GO:0001102; GO:0001666; GO:0001756; GO:0001966; GO:0002039; GO:0002209; GO:0002223; GO:0003677; GO:0003682; GO:0003684; GO:0003713; GO:0004402; GO:0004468; GO:0005634; GO:0005654; GO:0005667; GO:0005694; GO:0005829; GO:0006110; GO:0006283; GO:0006355; GO:0006473; GO:0006475; GO:0006915; GO:0006977; GO:0006990; GO:0007219; GO:0007221; GO:0007399; GO:0007507; GO:0007519; GO:0007611; GO:0007623; GO:0008013; GO:0008022; GO:0008134; GO:0008270; GO:0009887; GO:0010484; GO:0010485; GO:0010506; GO:0010742; GO:0010821; GO:0010976; GO:0016032; GO:0016407; GO:0016573; GO:0016579; GO:0016746; GO:0018076; GO:0018393; GO:0018394; GO:0030183; GO:0030220; GO:0030324; GO:0030511; GO:0030522; GO:0030851; GO:0031333; GO:0031490; GO:0031648; GO:0032092; GO:0032481; GO:0032993; GO:0033613; GO:0034644; GO:0035257; GO:0035264; GO:0035855; GO:0036268; GO:0042771; GO:0043627; GO:0043923; GO:0043967; GO:0043969; GO:0045444; GO:0045652; GO:0045721; GO:0045747; GO:0045815; GO:0045893; GO:0045944; GO:0048156; GO:0050681; GO:0050821; GO:0051059; GO:0051091; GO:0051092; GO:0051726; GO:0060325; GO:0060765; GO:0061418; GO:0061920; GO:0061921; GO:0090043; GO:0097157; GO:0097677; GO:0106226; GO:0120301; GO:0140065; GO:0140066; GO:0140067; GO:0140068; GO:0140069; GO:1900034; GO:1901224; GO:1901796; GO:1904837; GO:1905636,Chordata
Q96IG2,FXL20_HUMAN,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),FBXL20 FBL2,Homo sapiens (Human),436,GO:0000209; GO:0005829; GO:0019005; GO:0031146; GO:0043687,Chordata
P12277,KCRB_HUMAN,Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B),CKB CKBB,Homo sapiens (Human),381,GO:0004111; GO:0005524; GO:0005615; GO:0005634; GO:0005829; GO:0006600; GO:0016301; GO:0021549; GO:0021762; GO:0030425; GO:0030644; GO:0031625; GO:0043025; GO:0046314; GO:0070062,Chordata
P14921,ETS1_HUMAN,Protein C-ets-1 (p54),ETS1 EWSR2,Homo sapiens (Human),441,GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0001666; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0006366; GO:0006955; GO:0007565; GO:0008134; GO:0008284; GO:0008285; GO:0009612; GO:0010595; GO:0010628; GO:0010715; GO:0021854; GO:0021983; GO:0030154; GO:0030374; GO:0030578; GO:0032355; GO:0034616; GO:0035035; GO:0042802; GO:0042981; GO:0043536; GO:0044849; GO:0045648; GO:0045765; GO:0045766; GO:0045786; GO:0045893; GO:0045944; GO:0046677; GO:0048870; GO:0050729; GO:0051272; GO:0060055; GO:0070301; GO:0070555; GO:1902895; GO:1904996,Chordata
O60447,EVI5_HUMAN,Ecotropic viral integration site 5 protein homolog (EVI-5) (Neuroblastoma stage 4S gene protein),EVI5 NB4S,Homo sapiens (Human),810,GO:0005096; GO:0005634; GO:0005815; GO:0005819; GO:0005829; GO:0006886; GO:0007049; GO:0031267; GO:0042147; GO:0043547; GO:0051301; GO:0090630,Chordata
P24046,GBRR1_HUMAN,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),GABRR1,Homo sapiens (Human),479,GO:0004890; GO:0005254; GO:0005886; GO:0005887; GO:0007165; GO:0007214; GO:0007268; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0098978; GO:0098982; GO:0099507; GO:1902476; GO:1902711; GO:1904315,Chordata
Q9UI26,IPO11_HUMAN,Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11),IPO11 RANBP11,Homo sapiens (Human),975,GO:0005635; GO:0005654; GO:0005829; GO:0006606; GO:0006610; GO:0031267; GO:0061608,Chordata
O95965,ITGBL_HUMAN,Integrin beta-like protein 1 (Osteoblast-specific cysteine-rich protein) (Ten integrin EGF-like repeat domain-containing protein),ITGBL1 OSCP TIED,Homo sapiens (Human),494,GO:0005178; GO:0005576; GO:0005886; GO:0005925; GO:0007155; GO:0007160; GO:0007229; GO:0016477; GO:0033627,Chordata
Q9P2H3,IFT80_HUMAN,Intraflagellar transport protein 80 homolog (WD repeat-containing protein 56),IFT80 KIAA1374 WDR56,Homo sapiens (Human),777,GO:0001649; GO:0001958; GO:0003418; GO:0005737; GO:0005813; GO:0005929; GO:0007224; GO:0030992; GO:0033687; GO:0035630; GO:0035735; GO:0036064; GO:0050680; GO:0060173; GO:0060271; GO:0061975; GO:0097500; GO:0097542; GO:0097731; GO:1905515; GO:2000051,Chordata
P05556,ITB1_HUMAN,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),ITGB1 FNRB MDF2 MSK12,Homo sapiens (Human),798,GO:0000132; GO:0001618; GO:0001726; GO:0001968; GO:0002020; GO:0003779; GO:0005178; GO:0005737; GO:0005886; GO:0005925; GO:0006909; GO:0006968; GO:0007155; GO:0007156; GO:0007159; GO:0007160; GO:0007161; GO:0007229; GO:0009986; GO:0010008; GO:0010710; GO:0010763; GO:0015026; GO:0016020; GO:0016477; GO:0019058; GO:0019221; GO:0023035; GO:0030027; GO:0030030; GO:0030032; GO:0030175; GO:0030183; GO:0030198; GO:0030335; GO:0031589; GO:0031594; GO:0031623; GO:0032154; GO:0032587; GO:0033627; GO:0033631; GO:0034113; GO:0034665; GO:0034666; GO:0034667; GO:0034668; GO:0034674; GO:0034678; GO:0034680; GO:0034681; GO:0035633; GO:0042383; GO:0042470; GO:0043065; GO:0043235; GO:0043547; GO:0044877; GO:0045121; GO:0045296; GO:0045766; GO:0046718; GO:0046872; GO:0046982; GO:0048333; GO:0050776; GO:0050839; GO:0050900; GO:0050901; GO:0051897; GO:0051951; GO:0055037; GO:0070062; GO:0071404; GO:0090303; GO:0097386; GO:0098639; GO:0150003; GO:0150103; GO:1901979; GO:1903078; GO:1990782; GO:2000273; GO:2000811,Chordata
Q93034,CUL5_HUMAN,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),CUL5 VACM1,Homo sapiens (Human),780,GO:0000082; GO:0004842; GO:0005262; GO:0005829; GO:0016032; GO:0016567; GO:0019005; GO:0031146; GO:0031461; GO:0031466; GO:0031625; GO:0038023; GO:0038128; GO:0043687; GO:0090734; GO:0097193,Chordata
Q8NCM8,DYHC2_HUMAN,Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B),DYNC2H1 DHC1B DHC2 DNCH2 DYH1B KIAA1997,Homo sapiens (Human),4307,GO:0001822; GO:0003774; GO:0005524; GO:0005794; GO:0005868; GO:0005874; GO:0005886; GO:0005929; GO:0005930; GO:0007018; GO:0007030; GO:0007368; GO:0008569; GO:0009953; GO:0016485; GO:0021522; GO:0030286; GO:0030326; GO:0030900; GO:0031514; GO:0035721; GO:0035735; GO:0045177; GO:0045505; GO:0045880; GO:0051959; GO:0060271; GO:0060976; GO:0061512; GO:0070062; GO:0097542; GO:1905515,Chordata
P50570,DYN2_HUMAN,Dynamin-2 (EC 3.6.5.5),DNM2 DYN2,Homo sapiens (Human),870,GO:0000086; GO:0000139; GO:0000266; GO:0001891; GO:0002031; GO:0003374; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005768; GO:0005794; GO:0005802; GO:0005813; GO:0005829; GO:0005874; GO:0005886; GO:0005905; GO:0005925; GO:0006355; GO:0006892; GO:0006893; GO:0006897; GO:0006898; GO:0006909; GO:0007165; GO:0007283; GO:0008017; GO:0009416; GO:0010592; GO:0014069; GO:0015630; GO:0016020; GO:0016185; GO:0017124; GO:0019886; GO:0019899; GO:0019901; GO:0030027; GO:0030424; GO:0030426; GO:0030496; GO:0030512; GO:0030516; GO:0030666; GO:0030670; GO:0031410; GO:0031623; GO:0031749; GO:0031966; GO:0032587; GO:0032991; GO:0033572; GO:0035020; GO:0036312; GO:0042220; GO:0043065; GO:0044327; GO:0044351; GO:0044877; GO:0045211; GO:0045334; GO:0045429; GO:0045893; GO:0048471; GO:0048489; GO:0048812; GO:0050699; GO:0050766; GO:0050803; GO:0050998; GO:0050999; GO:0061024; GO:0061025; GO:0070062; GO:0071245; GO:0071481; GO:0071732; GO:0098793; GO:0098844; GO:0098884; GO:0098978; GO:0099092; GO:1900026; GO:1902856; GO:1903351; GO:1903358; GO:1903408; GO:1903526; GO:2000370,Chordata
Q8WXX0,DYH7_HUMAN,Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2),DNAH7 KIAA0944,Homo sapiens (Human),4024,GO:0003341; GO:0003777; GO:0005509; GO:0005524; GO:0005829; GO:0005858; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0036156; GO:0036159; GO:0045505; GO:0051959; GO:0060285,Chordata
P49411,EFTU_HUMAN,Elongation factor Tu; mitochondrial (EF-Tu) (P43),TUFM,Homo sapiens (Human),452,GO:0003723; GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0006414; GO:0016020; GO:0016032; GO:0042645; GO:0045202; GO:0045471; GO:0070062; GO:0070125,Chordata
Q9NP66,HM20A_HUMAN,High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1),HMG20A HMGX1 HMGXB1,Homo sapiens (Human),347,GO:0000122; GO:0003677; GO:0005634; GO:0006325; GO:0006355; GO:0010468; GO:0033234; GO:0042802; GO:0045665,Chordata
Q9UL03,INT6_HUMAN,Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26) (Protein deleted in cancer 1) (DICE1),INTS6 DBI1 DDX26 DDX26A,Homo sapiens (Human),887,GO:0004888; GO:0005634; GO:0005654; GO:0015629; GO:0016180; GO:0032039; GO:0034472; GO:0042795,Chordata
Q9NVH1,DJC11_HUMAN,DnaJ homolog subfamily C member 11,DNAJC11,Homo sapiens (Human),559,GO:0001401; GO:0005654; GO:0005739; GO:0005741; GO:0007007; GO:0016607; GO:0042407; GO:0140275,Chordata
Q5VTE0,EF1A3_HUMAN,Putative elongation factor 1-alpha-like 3 (EF-1-alpha-like 3) (Eukaryotic elongation factor 1 A-like 3) (eEF1A-like 3) (Eukaryotic translation elongation factor 1 alpha-1 pseudogene 5),EEF1A1P5 EEF1AL3,Homo sapiens (Human),462,GO:0003746; GO:0003924; GO:0005525; GO:0005615; GO:0005634; GO:0005737; GO:0006412; GO:0006414; GO:0070062,Chordata
O60645,EXOC3_HUMAN,Exocyst complex component 3 (Exocyst complex component Sec6),EXOC3 SEC6 SEC6L1,Homo sapiens (Human),745,GO:0000145; GO:0000149; GO:0005794; GO:0005829; GO:0006887; GO:0015031; GO:0030426; GO:0030496; GO:0030667; GO:0042734; GO:0045296; GO:0048471; GO:0051601; GO:0060271,Chordata
Q3L8U1,CHD9_HUMAN,Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein),CHD9 KIAA0308 KISH2 PRIC320 AD-013 x0008,Homo sapiens (Human),2897,GO:0003677; GO:0003678; GO:0005524; GO:0005654; GO:0005829; GO:0006325; GO:0016787; GO:0019216; GO:0070615,Chordata
O15075,DCLK1_HUMAN,Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1),DCLK1 DCAMKL1 DCDC3A KIAA0369,Homo sapiens (Human),740,GO:0001764; GO:0004672; GO:0005524; GO:0005887; GO:0006468; GO:0007399; GO:0007417; GO:0009615; GO:0014069; GO:0016197; GO:0018105; GO:0021952; GO:0030900; GO:0035556; GO:0048675; GO:0048812; GO:0048813; GO:0106310; GO:0106311; GO:1900181,Chordata
Q9UI36,DACH1_HUMAN,Dachshund homolog 1 (Dach1),DACH1 DACH,Homo sapiens (Human),758,GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001967; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0007585; GO:0008283; GO:0010944; GO:0030336; GO:0033262; GO:0045892; GO:0046545; GO:0048147; GO:0060244; GO:2000279,Chordata
